Company,Company Type,Primary Languages,Frameworks & Libraries,Databases,Cloud Infrastructure,Common Job Roles,P25 Salary (USD),P50 Salary (USD),P75 Salary (USD),Salary Tier,Location,Data Year,Notes
Microsoft,Big Tech,"C#, C++, Python, TypeScript, JavaScript",".NET, React, Azure ML","SQL Server, Cosmos DB","Azure (owns it), AWS","Software Engineer, PM, Cloud Solution Architect",163000,213000,285000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Morgan Stanley,Finance/Trading,"Java, C++, Python","Spring, Proprietary systems","Oracle, Sybase","Private cloud, AWS","Software Engineer, VP Engineering, Quant",135000,180000,250000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
NVIDIA,Hardware/Semiconductor,"C++, C, Python, CUDA","TensorRT, cuDNN, PyTorch",PostgreSQL,Internal HPC clusters,"Software Engineer, GPU Architect, ML Engineer",175000,260000,360000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
Netflix,Big Tech,"Java, JavaScript, Python, Go","Spring Boot, React, Node.js","Cassandra, MySQL, DynamoDB",AWS,"Software Engineer, Data Engineer, ML Engineer",180000,280000,400000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
Oracle,Tech Company,"Java, SQL, PL/SQL, Python","Spring, Oracle frameworks","Oracle Database, MySQL",Oracle Cloud,"Software Engineer, Database Administrator, Consultant",120000,155000,200000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Palantir,Tech Company,"Java, TypeScript, Python, Go","React, Custom platforms","PostgreSQL, Custom solutions","AWS, Azure, GCP","Forward Deployed Engineer, Software Engineer",160000,240000,320000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
PwC,Consulting,"Python, R, SQL, Java","Power BI, Tableau","SQL Server, Oracle","AWS, Azure","Consultant, Data Analyst, Auditor",75000,95000,125000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Qualcomm,Hardware/Semiconductor,"C, C++, Python, Verilog","Android frameworks, Custom DSP tools",PostgreSQL,Internal systems,"Software Engineer, Hardware Engineer, Embedded Engineer",130000,175000,230000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
SAP,Tech Company,"Java, JavaScript, ABAP, Python","SAP UI5, HANA","SAP HANA, SQL Server","SAP Cloud, AWS, Azure","Software Engineer, SAP Consultant, Developer",110000,145000,185000,Tier 3 (Competitive),United States,2024-2025,Software Engineer role
Salesforce,Tech Company,"Java, JavaScript, Apex, Python","Lightning, React, Node.js","Salesforce Database, PostgreSQL","Salesforce Cloud, AWS","Software Engineer, Solution Architect, Developer",150000,200000,270000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
ServiceNow,Tech Company,"JavaScript, Java, Python","Angular, React, ServiceNow platform","MySQL, Oracle","ServiceNow cloud, AWS","Software Engineer, Platform Developer, Solutions Consultant",135000,180000,240000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Shopify,Tech Company,"Ruby, JavaScript, Go, Python","Rails, React, GraphQL","MySQL, Redis","Google Cloud, AWS","Software Engineer, Full-stack Developer, Data Engineer",140000,185000,245000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Snowflake,Tech Company,"Java, Scala, Python, SQL","Spring, React","Snowflake (owns it), PostgreSQL","AWS, Azure, GCP","Software Engineer, Solutions Architect, Data Engineer",160000,220000,300000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Stripe,Tech Company,"Ruby, JavaScript, Go, Java, Python","Rails, React, Node.js","MongoDB, PostgreSQL",AWS,"Software Engineer, Solutions Architect, ML Engineer",175000,260000,350000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
TCS,Indian IT Services,"Java, Python, .NET, JavaScript","Spring, Angular, React","Oracle, SQL Server, MongoDB","AWS, Azure, Google Cloud","Software Engineer, IT Analyst, Consultant",65000,78000,95000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Tech Mahindra,Indian IT Services,"Java, Python, .NET, JavaScript","Spring, Angular","Oracle, SQL Server","AWS, Azure","Software Engineer, Technical Lead, Consultant",68000,82000,100000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
Two Sigma,Finance/Trading,"Python, C++, Java, Scala",Proprietary ML/trading systems,"Custom solutions, PostgreSQL",Private infrastructure,"Quant Researcher, Software Engineer, Data Scientist",240000,340000,480000,Tier 1 (Top Pay),United States,2024-2025,Software Engineer role
Uber,Tech Company,"Go, Python, Java, JavaScript","React, Node.js, Apache Hudi","MySQL, PostgreSQL, Cassandra","AWS, Google Cloud","Software Engineer, Data Engineer, ML Engineer",155000,210000,285000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
VMware,Tech Company,"Java, C++, Python, Go","Spring, VMware tools","PostgreSQL, MySQL","VMware Cloud, AWS, Azure","Software Engineer, Cloud Engineer, Solutions Architect",130000,175000,230000,Tier 2 (High Pay),United States,2024-2025,Software Engineer role
Wipro,Indian IT Services,"Java, Python, .NET, JavaScript","Spring, Angular, React","Oracle, SQL Server, MongoDB","AWS, Azure, Google Cloud","Software Engineer, Project Engineer, Consultant",67000,80000,98000,Tier 4 (Standard),United States,2024-2025,Software Engineer role
